,post_id,text,post_text,shared_text,time,image,likes,comments,shares,post_url,link
10,2625774024189944,What is the single best resource for learning pandas?,What is the single best resource for learning pandas?,,2020-06-21 18:08:24,,12,15,0,,
11,2628956240538389,"How effective is M.Sc Data Science in VIT?
Is it really worthy or valuable as a proof that I‘m good in Data Science?
P.S I’m a Physics Graduate and I have been working related to Data Science
#DataScience #MastersInDataScience #VIT #PGinVIT
#PGinDataScience #MScDataScience #VITVellore #VITChennai #MachineLearning #ArtificialIntelligence #DeepLearning #ML #AI #DS #CareerGrowth","How effective is M.Sc Data Science in VIT?
Is it really worthy or valuable as a proof that I‘m good in Data Science?
P.S I’m a Physics Graduate and I have been working related to Data Science
#DataScience #MastersInDataScience #VIT #PGinVIT
#PGinDataScience #MScDataScience #VITVellore #VITChennai #MachineLearning #ArtificialIntelligence #DeepLearning #ML #AI #DS #CareerGrowth",,2020-06-23 01:21:14,,6,6,0,,
12,2630698360364177,"Telangana is one such state which is leveraging Analytics to help in decision making and Data Scientists at NASA are employing GPU-powered workstations! Learn more.
#dataanalytics #nasa #covid19
MYGREATLEARNING.COM
Telangana to use Data Analytics for COVID-19 Decisions - Weekly Guide","Telangana is one such state which is leveraging Analytics to help in decision making and Data Scientists at NASA are employing GPU-powered workstations! Learn more.
#dataanalytics #nasa #covid19","MYGREATLEARNING.COM
Telangana to use Data Analytics for COVID-19 Decisions - Weekly Guide",2020-06-23 19:24:43,https://external.fbom26-1.fna.fbcdn.net/safe_image.php?d=AQBKWHHY3Mfyr8YY&w=476&h=249&url=https%3A%2F%2Fd1m75rqqgidzqn.cloudfront.net%2Fwp-data%2F2020%2F06%2F22133355%2FiStock-470807148.jpg&cfs=1&jq=75&ext=jpg&_nc_hash=AQBW0gaorjT51KUM,15,1,0,https://m.facebook.com/story.php?story_fbid=169461101251167&id=315272545240115,https://www.mygreatlearning.com/blog/telangana-to-use-data-analytics-for-covid-19-decisions/?utm_source=fbweekly3
13,2628777763889570,"Hi guys, here's a tutorial to make a really good sales forecasting model with Python.
Stay safe!

TOWARDSDATASCIENCE.COM
Immensely Improving every ‘Walmart Sales’ Demand Forecasting Model","Hi guys, here's a tutorial to make a really good sales forecasting model with Python.
Stay safe!
","TOWARDSDATASCIENCE.COM
Immensely Improving every ‘Walmart Sales’ Demand Forecasting Model",2020-06-22 23:36:25,https://external.fbom26-1.fna.fbcdn.net/safe_image.php?d=AQAWgvshrhhWFU8l&w=476&h=249&url=https%3A%2F%2Fmiro.medium.com%2Fmax%2F1200%2F1%2AxQ2iIx1WWgXHGioHFIAYUQ.png&cfs=1&jq=75&ext=jpg&_nc_hash=AQAn3ktyecfMaVsV,35,3,12,https://m.facebook.com/story.php?story_fbid=144127877272608&id=315272545240115,https://towardsdatascience.com/immensely-improving-every-walmart-sales-demand-forecasting-model-3e9449f892ea
14,2629716237129056,"I have the following dataset, the problem is how do I get rid of the unnamed:0 value without deleting the column? I need the timestamp column and dates to work with pandas functions.
unnamed:0, A, A1, A2....
0, timestamp, high, low, average......
1, 1/1/2017, 65, 44, 45.........
2, 1/2/2017, 55, 45, 34........","I have the following dataset, the problem is how do I get rid of the unnamed:0 value without deleting the column? I need the timestamp column and dates to work with pandas functions.
unnamed:0, A, A1, A2....
0, timestamp, high, low, average......
1, 1/1/2017, 65, 44, 45.........
2, 1/2/2017, 55, 45, 34........",,2020-06-23 09:17:34,,0,4,0,,
15,2630994750334538,"Hi Everyone,
As a part 2 of the series, through this post I have explained and simplified the whole process of deployment of machine learning model on Microsoft Azure alone with the code.
#MicrosoftAzure #MachineLearning #Deployment
Here is the link:

LET-THE-DATA-CONFESS.COM
Machine learning model deployment on Microsoft Azure","Hi Everyone,
As a part 2 of the series, through this post I have explained and simplified the whole process of deployment of machine learning model on Microsoft Azure alone with the code.
#MicrosoftAzure #MachineLearning #Deployment
Here is the link:
","LET-THE-DATA-CONFESS.COM
Machine learning model deployment on Microsoft Azure",2020-06-23 21:58:21,https://external.fbom26-1.fna.fbcdn.net/safe_image.php?d=AQBZyrNpfMbldYPy&w=476&h=249&url=https%3A%2F%2Fsecureservercdn.net%2F160.153.137.40%2F14f.e1b.myftpupload.com%2Fwp-content%2Fuploads%2F2020%2F06%2Fml-deployment.png%3Ftime%3D1592930931&cfs=1&jq=75&ext=jpg&_nc_hash=AQClQ3JaN4Op2V1-,18,4,3,https://m.facebook.com/story.php?story_fbid=3115561195200782&id=315272545240115,https://www.let-the-data-confess.com/part-2-machine-learning-model-deployment-on-microsoft-azure/
16,2628420157258664,"Hello!
I am training a CNN on images (2 classes) and I have an imbalanced dataset (1:7 ratio). I am trying to tackle this by performing offline image augmentation. Should I perform augmentation also on the validation set or is it ok if the validation set remains imbalanced?","Hello!
I am training a CNN on images (2 classes) and I have an imbalanced dataset (1:7 ratio). I am trying to tackle this by performing offline image augmentation. Should I perform augmentation also on the validation set or is it ok if the validation set remains imbalanced?",,2020-06-22 20:27:06,,3,7,0,,
17,2627653890668624,"I am interested PhD in Machine learning /deep learning,can anyone give me link of recent topics.
Or any website /video lectures ,where I can learn.","I am interested PhD in Machine learning /deep learning,can anyone give me link of recent topics.
Or any website /video lectures ,where I can learn.",,2020-06-22 12:34:05,,19,12,0,,
18,2632198953547451,"5 Best Data Science and Machine Learning Degree Programs You can join Online on Coursera
MEDIUM.COM
5 Best Data Science and Machine Learning Degree Programs You can join Online on Coursera",5 Best Data Science and Machine Learning Degree Programs You can join Online on Coursera,"MEDIUM.COM
5 Best Data Science and Machine Learning Degree Programs You can join Online on Coursera",2020-06-24 09:09:51,https://external.fbom26-1.fna.fbcdn.net/safe_image.php?w=476&h=249&url=https%3A%2F%2Fmiro.medium.com%2Fmax%2F1200%2F0%2AmxXCTKsGH54cOFiY&cfs=1&jq=75&ext=jpg&_nc_hash=AQBelZmsU-e6pg5B,0,0,0,https://m.facebook.com/story.php?story_fbid=838714436913021&id=315272545240115,http://dlvr.it/RZBnbg
19,2632270893540257,"Visual Analytics makes complex data more accessible, understandable and usable and delicate information clearly and efficiently to users. Read through the article to get the impression of data visualisation and techniques being used.
#datavisualization #dataanalytics #datascience #visualanalytics #bigdata
DATASMARTNESS.COM
A Glance on Visual Analytics – Datasmartness","Visual Analytics makes complex data more accessible, understandable and usable and delicate information clearly and efficiently to users. Read through the article to get the impression of data visualisation and techniques being used.
#datavisualization #dataanalytics #datascience #visualanalytics #bigdata","DATASMARTNESS.COM
A Glance on Visual Analytics – Datasmartness",2020-06-24 09:56:28,https://external.fbom26-1.fna.fbcdn.net/safe_image.php?d=AQAN8SkTLhRfzHCh&w=476&h=249&url=https%3A%2F%2Fdatasmartness.com%2Fwp-content%2Fuploads%2F2020%2F06%2FApplication.jpg&cfs=1&jq=75&ext=jpg&_nc_hash=AQCklBH-CT6UCqJp,0,0,0,https://m.facebook.com/story.php?story_fbid=10220481355737719&id=315272545240115,https://datasmartness.com/glance-on-visual-analytics/
20,2623871557713524,Is there a quicker way to learn data mining as you solve a problem?,Is there a quicker way to learn data mining as you solve a problem?,,2020-06-20 22:51:05,,2,3,0,,
21,,"Big Data and the Internet of Things don’t make business smarter, Analytics and Data Science do.
Big Data does not convert data into actionable information. Big Data does not create value. But Data Science does, and it does not have to be complex or expensive, or even big.
(Michael O’Connell)
""The best way to learn data science is to apply data science""
Datasets Sources:
https://toolbox.google.com/datasetsearch
KD Nuggets: http://www.kdnuggets.com/datasets/index.html
UCI: https://archive.ics.uci.edu/ml/index.php
Facebook: https://bigdataenthusiast.wordpress.com/…/mining-facebook-…/
https://www.analyticsvidhya.com/…/25-websites-to-find-dat…/…
http://www.unb.ca/cic/datasets/index.html
Ten…
UNB.CA
Datasets | Research | Canadian Institute for Cybersecurity | UNB","Big Data and the Internet of Things don’t make business smarter, Analytics and Data Science do.
Big Data does not convert data into actionable information. Big Data does not create value. But Data Science does, and it does not have to be complex or expensive, or even big.
(Michael O’Connell)
""The best way to learn data science is to apply data science""
Datasets Sources:
https://toolbox.google.com/datasetsearch
KD Nuggets: http://www.kdnuggets.com/datasets/index.html
UCI: https://archive.ics.uci.edu/ml/index.php
Facebook: https://bigdataenthusiast.wordpress.com/…/mining-facebook-…/
https://www.analyticsvidhya.com/…/25-websites-to-find-dat…/…
http://www.unb.ca/cic/datasets/index.html
Ten…","UNB.CA
Datasets | Research | Canadian Institute for Cybersecurity | UNB",2017-01-14 08:02:25,https://external.fbom26-1.fna.fbcdn.net/safe_image.php?d=AQCsAPPbC1vxEwBA&w=65&h=65&url=http%3A%2F%2Fwww.unb.ca%2Fwebcomps%2F_css%2Funb_logo_140.png&cfs=1&jq=75&ext=jpg&_nc_hash=AQDuht4kr8d6-WAW,729,7,139,https://m.facebook.com/story.php?story_fbid=442290009531359&id=315272545240115,https://toolbox.google.com/datasetsearch
22,2629853657115314,"SMARTCITIESDIVE.COM
Data analytics key to strengthening COVID-19 response",,"SMARTCITIESDIVE.COM
Data analytics key to strengthening COVID-19 response",2020-06-23 10:49:52,https://external.fbom26-1.fna.fbcdn.net/safe_image.php?d=AQAfOvw_Xf6bvFDA&w=476&h=249&url=https%3A%2F%2Fwww.smartcitiesdive.com%2Fuser_media%2Fcache%2F10%2F05%2F100567eb50835e89e944bee83c431b67.jpg&cfs=1&jq=75&ext=jpg&_nc_hash=AQCQOcrRH1sPmo_i,2,0,0,https://m.facebook.com/story.php?story_fbid=314633069939069&id=315272545240115,https://www.smartcitiesdive.com/news/data-analytics-key-to-strengthening-covid-19-response/580197/?fbclid=IwAR2dVam5VBG3Qls_TPmqmsNcqheuWA6K0EfE-EgUFd4bpl7gQzSymjpjCgo
23,2628998363867510,"Guest Webinar Series:
Join us tomorrow (June 23), as we talk with Mux on how the speed and flexibility of #ClickHouse allow users to achieve pin-point control over live video stream broadcasts to millions of users.
#digitalexperience
US02WEB.ZOOM.US
Welcome! You are invited to join a webinar: Big Data and Beautiful Video: How ClickHouse enables Mux to Deliver Content at Scale. After registering, you will receive a confirmation email about joining the webinar.","Guest Webinar Series:
Join us tomorrow (June 23), as we talk with Mux on how the speed and flexibility of #ClickHouse allow users to achieve pin-point control over live video stream broadcasts to millions of users.
#digitalexperience","US02WEB.ZOOM.US
Welcome! You are invited to join a webinar: Big Data and Beautiful Video: How ClickHouse enables Mux to Deliver Content at Scale. After registering, you will receive a confirmation email about joining the webinar.",2020-06-23 01:46:13,https://external.fbom26-1.fna.fbcdn.net/safe_image.php?d=AQCORHfKPz6UDwaQ&w=112&h=112&url=https%3A%2F%2Fus02web.zoom.us%2Fw_p%2F876029160%2F57b5946e-70cd-41d1-a3b3-84ee9404bb3d.png&cfs=1&jq=75&ext=jpg&_nc_hash=AQD-m9hcmQVMXwP2,1,0,0,https://m.facebook.com/story.php?story_fbid=3467484303281764&id=315272545240115,https://us02web.zoom.us/webinar/register/6815638121759/WN_C4Xnz-BCT12Y-EGroe1MIg
24,2630718207028859,"MEDIUM.COM
How to do bias-variance tradeoff the right way in Machine Learning",,"MEDIUM.COM
How to do bias-variance tradeoff the right way in Machine Learning",2020-06-23 19:34:51,https://external.fbom26-1.fna.fbcdn.net/safe_image.php?d=AQBV7Dn09xTRkeeA&w=476&h=249&url=https%3A%2F%2Fmiro.medium.com%2Fmax%2F614%2F1%2An0t9AG2CpFN1TSrKbGshmg.png&cfs=1&jq=75&ext=jpg&_nc_hash=AQCYFGKjoePduCfJ,6,0,3,https://m.facebook.com/story.php?story_fbid=179315026881163&id=315272545240115,https://medium.com/@diegosalinas_47084/how-to-do-bias-variance-tradeoff-the-right-way-in-machine-learning-a892e8b5d7aa
25,2623868334380513,"I’m a beginner in data mining, weka, python stuff and I have an assignment but with very little knowledge to complete it on time. Anyone who can help at a fee? Send an email so that I can forward the questions and dataset","I’m a beginner in data mining, weka, python stuff and I have an assignment but with very little knowledge to complete it on time. Anyone who can help at a fee? Send an email so that I can forward the questions and dataset",,2020-06-20 22:49:17,,7,9,0,,
26,2559270484173632,"SITES.GOOGLE.COM
Python + Data Science : Practical Guide",,"SITES.GOOGLE.COM
Python + Data Science : Practical Guide",2020-05-24 05:23:22,https://external.fbom26-1.fna.fbcdn.net/safe_image.php?w=112&h=112&url=https%3A%2F%2Fssl.gstatic.com%2Fatari%2Fimages%2Fatari-logo.png&cfs=1&jq=75&ext=jpg&_nc_hash=AQD2HP3hT85mQsXf,215,422,15,https://m.facebook.com/story.php?story_fbid=2906971109382055&id=315272545240115,https://sites.google.com/view/python-data/home
27,2630372347063445,"REMINDER: FINAL Call for Papers; FedCSIS 2020; IEEE (multiple units; conference number: #49059; publication IEEE DL, SCOPUS, WoS); video-based conference; https://www.facebook.com/events/2749790178464431/
FRI, 3 JUL AT 02:00 UTC+03
Call for Papers; FedCSIS 2020; deadline July 3; video-based","REMINDER: FINAL Call for Papers; FedCSIS 2020; IEEE (multiple units; conference number: #49059; publication IEEE DL, SCOPUS, WoS); video-based conference; https://www.facebook.com/events/2749790178464431/","FRI, 3 JUL AT 02:00 UTC+03
Call for Papers; FedCSIS 2020; deadline July 3; video-based",2020-06-23 16:27:33,,0,0,0,,
28,2502627806504567,"DOCS.GOOGLE.COM
Smart Car Survey -Final Year Thesis",,"DOCS.GOOGLE.COM
Smart Car Survey -Final Year Thesis",2020-04-29 02:19:00,https://external.fbom26-1.fna.fbcdn.net/safe_image.php?d=AQDu6tncTitzr-cu&w=476&h=249&url=https%3A%2F%2Flh4.googleusercontent.com%2F0IP-ZpGKutk7oE_tAaNWS4kO1EBGp-dhjw80JdadTAyhGparYkzussEHWI--y4K6_UD_auA%3Dw1200-h630-p&cfs=1&jq=75&ext=jpg&_nc_hash=AQBtm48Gz7SI6fKp,6,2,0,https://m.facebook.com/story.php?story_fbid=3667545409940782&id=315272545240115,https://lnkd.in/gCHFHVt?fbclid=IwAR0982cscY5qScCrNJ3-cEU2tVTT_LUFWqm_OWatCwAcjbUeSkLXS-A0Cdg
29,2620599121374101,"I have a project that will hopefully interest a pro-police reform data scientist or someone just looking for some one-of-a-kind previously secret data to practice on. Through the California Public Records Act, I was able to acquire the metadata from the Long Beach Police Department's use of a disappearing text messaging service called Tiger Text. The city denied using the program to the press, but eventually, the ACLU got them to admit it. The city claimed it was only used for routine communications and not for investigative communications. They even paid a well-connected local law firm a lot of money for an independent report that was just a rehashing of the police's lies but with… More","I have a project that will hopefully interest a pro-police reform data scientist or someone just looking for some one-of-a-kind previously secret data to practice on. Through the California Public Records Act, I was able to acquire the metadata from the Long Beach Police Department's use of a disappearing text messaging service called Tiger Text. The city denied using the program to the press, but eventually, the ACLU got them to admit it. The city claimed it was only used for routine communications and not for investigative communications. They even paid a well-connected local law firm a lot of money for an independent report that was just a rehashing of the police's lies but with… More",,2020-06-19 15:12:49,https://scontent.fbom26-1.fna.fbcdn.net/v/t1.0-0/cp0/e15/q65/s320x320/103631186_1669640923175319_6262140396454375769_o.jpg?_nc_cat=108&_nc_sid=ca434c&_nc_ohc=m7_s6gbgQS4AX8Gxvyg&_nc_ht=scontent.fbom26-1.fna&_nc_tp=9&oh=364f7408c9ca4e41d9d06096e2e9c0f2&oe=5F18ED05,6,4,0,,
30,2620185624748784,"Ultimate Masters Academy
2 February at 08:57 ·
Become a Data Analysis Expert in Microsoft Excel.
Analyze data really FAST and build impressive reports.
Sign-up: https://UltimateMasters.Thinkific.com",,"Ultimate Masters Academy
2 February at 08:57 ·
Become a Data Analysis Expert in Microsoft Excel.
Analyze data really FAST and build impressive reports.
Sign-up: https://UltimateMasters.Thinkific.com",2020-06-19 10:35:37,,13,1,6,https://m.facebook.com/story.php?story_fbid=127153098794399&id=100275024815540,https://UltimateMasters.Thinkific.com/
31,2628371950596818,"MEDIUM.COM
Beautiful Boxplots With Statistical Significance Annotation",,"MEDIUM.COM
Beautiful Boxplots With Statistical Significance Annotation",2020-06-22 20:00:37,https://external.fbom26-1.fna.fbcdn.net/safe_image.php?d=AQB9sRV_fMmKhG22&w=476&h=249&url=https%3A%2F%2Fmiro.medium.com%2Fmax%2F1200%2F1%2AnVu-LWv8dt4coLQwtT_J5A.png&cfs=1&jq=75&ext=jpg&_nc_hash=AQCGzTGq16NmJmAc,46,1,17,https://m.facebook.com/story.php?story_fbid=10157466393032149&id=315272545240115,https://medium.com/swlh/beautiful-boxplots-with-statistical-significance-annotation-cb78cad92149?source=friends_link&sk=454c3be644c7ae35d8540e6a74678c5b
32,2627703923996954,"Heart Attack and Diabetes Prediction Project in Apache Spark (DISCOUNT Coupon)
#ApacheSpark #BigData #DataScience #Analytics #Statistics #PredictiveModeling #MachineLearning #hadoop #DataScientist

UDEMY.COM
Heart Attack and Diabetes Prediction Project in Apache Spark","Heart Attack and Diabetes Prediction Project in Apache Spark (DISCOUNT Coupon)
#ApacheSpark #BigData #DataScience #Analytics #Statistics #PredictiveModeling #MachineLearning #hadoop #DataScientist
","UDEMY.COM
Heart Attack and Diabetes Prediction Project in Apache Spark",2020-06-22 13:09:27,https://external.fbom26-1.fna.fbcdn.net/safe_image.php?d=AQDxIkwhqvdffLkD&w=476&h=249&url=https%3A%2F%2Fimg-a.udemycdn.com%2Fcourse%2F480x270%2F2549239_759f.jpg&cfs=1&jq=75&ext=jpg&_nc_hash=AQDDLpcUrKQt6tTe,3,0,0,https://m.facebook.com/story.php?story_fbid=10223254346366897&id=315272545240115,https://www.udemy.com/course/disease-prediction-2-mini-projects-in-apache-sparkml/?couponCode=JUNE2020
